agent_name,cherries_eaten,total_moves,agent_runtime,max_moves_without_cherry,grid_width,grid_height
manhattan,35,747,0.000694,4500,30,30
manhattan,29,618,0.000614,4500,30,30
manhattan,39,817,0.000710,4500,30,30
manhattan,49,1217,0.001073,4500,30,30
manhattan,35,648,0.000539,4500,30,30
manhattan,19,435,0.000379,4500,30,30
manhattan,48,1005,0.000966,4500,30,30
manhattan,29,656,0.000546,4500,30,30
dfs,16,3049,0.003847,4500,30,30
dfs,24,5319,0.005392,4500,30,30
dfs,6,859,0.000701,4500,30,30
dfs,8,1753,0.001744,4500,30,30
dfs,17,4283,0.004469,4500,30,30
dfs,5,1331,0.001161,4500,30,30
dfs,14,3567,0.003984,4500,30,30
dfs,14,3554,0.003552,4500,30,30
dfs,27,5409,0.004896,4500,30,30
dfs,11,2605,0.002388,4500,30,30
ida_dfs,51,1570,0.365469,4500,30,30
ida_dfs,106,3143,1.015173,4500,30,30
ida_dfs,88,2575,0.587271,4500,30,30
ida_dfs,73,2039,0.550313,4500,30,30
ida_dfs,84,2380,0.626486,4500,30,30
ida_dfs,97,2653,0.555010,4500,30,30
ida_dfs,78,2330,0.679948,4500,30,30
ida_dfs,77,2092,0.565990,4500,30,30
ida_dfs,102,2828,0.726980,4500,30,30
ida_dfs,51,1665,0.410429,4500,30,30
raw_hamilton,897,207166,0.186297,4500,30,30
raw_hamilton,897,199335,0.181937,4500,30,30
raw_hamilton,897,196931,0.180234,4500,30,30
raw_hamilton,897,205371,0.181956,4500,30,30
raw_hamilton,897,204051,0.184149,4500,30,30
raw_hamilton,897,201246,0.181488,4500,30,30
raw_hamilton,897,200552,0.175289,4500,30,30
raw_hamilton,897,199764,0.182060,4500,30,30
raw_hamilton,897,202662,0.188638,4500,30,30
raw_hamilton,897,205601,0.186103,4500,30,30
smart_snako,897,85538,123.968898,4500,30,30
smart_snako,897,82137,117.790853,4500,30,30
smart_snako,897,82677,120.645373,4500,30,30
smart_snako,897,84178,120.062748,4500,30,30
smart_snako,897,85830,121.428081,4500,30,30
smart_snako,897,79178,115.606395,4500,30,30
smart_snako,897,79009,113.292603,4500,30,30
smart_snako,897,83504,123.185132,4500,30,30
smart_snako,897,80616,117.737330,4500,30,30
smart_snako,897,84011,119.213962,4500,30,30
random,1,4223,0.001218,4500,30,30
random,0,4501,0.000259,4500,30,30
random,4,3412,0.000959,4500,30,30
random,2,863,0.000329,4500,30,30
random,3,3536,0.002567,4500,30,30
random,1,7539,0.002658,4500,30,30
random,1,2769,0.000773,4500,30,30
random,5,2833,0.001832,4500,30,30
random,4,4896,0.002686,4500,30,30
random,2,945,0.000423,4500,30,30
manhattan,29,598,0.000520,4500,30,30
manhattan,32,678,0.000639,4500,30,30
manhattan,21,498,0.000446,4500,30,30
manhattan,25,578,0.000594,4500,30,30
manhattan,49,994,0.001005,4500,30,30
manhattan,40,930,0.000959,4500,30,30
manhattan,41,800,0.000673,4500,30,30
manhattan,31,699,0.000712,4500,30,30
manhattan,55,1160,0.001148,4500,30,30
manhattan,33,675,0.000723,4500,30,30
dfs,17,4238,0.003363,4500,30,30
dfs,18,4585,0.004710,4500,30,30
dfs,19,5106,0.005094,4500,30,30
dfs,9,2310,0.002225,4500,30,30
dfs,16,4685,0.005092,4500,30,30
dfs,18,4366,0.005280,4500,30,30
dfs,8,2156,0.001845,4500,30,30
dfs,35,9324,0.010528,4500,30,30
dfs,16,4200,0.004543,4500,30,30
dfs,31,7459,0.007682,4500,30,30
ida_dfs,39,1111,0.387200,4500,30,30
ida_dfs,109,3130,0.967351,4500,30,30
ida_dfs,82,2512,0.554861,4500,30,30
ida_dfs,48,1588,0.349878,4500,30,30
ida_dfs,82,2704,0.711189,4500,30,30
ida_dfs,114,3420,1.215137,4500,30,30
ida_dfs,56,1719,0.407727,4500,30,30
ida_dfs,78,2315,1.001459,4500,30,30
ida_dfs,65,2113,0.575509,4500,30,30
ida_dfs,70,2248,0.650831,4500,30,30
raw_hamilton,897,207375,0.185514,4500,30,30
raw_hamilton,897,197957,0.180222,4500,30,30
raw_hamilton,897,206278,0.185112,4500,30,30
raw_hamilton,897,206355,0.183277,4500,30,30
raw_hamilton,897,197831,0.176785,4500,30,30
raw_hamilton,897,201652,0.180933,4500,30,30
raw_hamilton,897,203179,0.184236,4500,30,30
raw_hamilton,897,202393,0.182125,4500,30,30
raw_hamilton,897,202254,0.184039,4500,30,30
raw_hamilton,897,203051,0.184515,4500,30,30
smart_snako,897,83339,120.750438,4500,30,30
smart_snako,897,80670,115.462243,4500,30,30
smart_snako,897,78118,114.560887,4500,30,30
smart_snako,897,82618,117.503986,4500,30,30
smart_snako,897,76409,110.712342,4500,30,30
smart_snako,897,80153,117.771089,4500,30,30
smart_snako,897,80032,114.986702,4500,30,30
smart_snako,897,83401,120.567032,4500,30,30
smart_snako,897,81107,128.260053,4500,30,30
smart_snako,897,85371,137.293773,4500,30,30
random,5,3674,0.001301,4500,30,30
random,2,5265,0.001974,4500,30,30
random,4,4618,0.002120,4500,30,30
random,0,4501,0.003132,4500,30,30
